0:0:0:0:0:0:0:1 - - [15/May/2015:17:53:14 -0400] "POST /mlm/user HTTP/1.1" 200 504
0:0:0:0:0:0:0:1 - - [15/May/2015:17:53:16 -0400] "GET /mlm/home HTTP/1.1" 200 9354
0:0:0:0:0:0:0:1 - - [15/May/2015:17:53:17 -0400] "POST /mlm/user HTTP/1.1" 200 504
0:0:0:0:0:0:0:1 - - [15/May/2015:17:53:22 -0400] "GET /mlmcommon/aboutus HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [15/May/2015:17:53:25 -0400] "POST /mlm/user HTTP/1.1" 200 504
0:0:0:0:0:0:0:1 - - [15/May/2015:17:53:27 -0400] "GET /mlm/selectAutoship HTTP/1.1" 200 6205
0:0:0:0:0:0:0:1 - - [15/May/2015:17:53:31 -0400] "POST /mlm/user HTTP/1.1" 200 504
0:0:0:0:0:0:0:1 - - [15/May/2015:17:53:35 -0400] "GET /mlm/products HTTP/1.1" 200 7424
0:0:0:0:0:0:0:1 - - [15/May/2015:17:53:36 -0400] "POST /mlm/common/category HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [15/May/2015:17:53:36 -0400] "POST /mlm/productList HTTP/1.1" 200 991
0:0:0:0:0:0:0:1 - - [15/May/2015:17:53:37 -0400] "POST /mlm/common/shoppingCartSummary HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [15/May/2015:17:53:37 -0400] "GET /mlm/images/products/1430061933579.jpg HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [15/May/2015:17:53:37 -0400] "GET /mlm/images/products/1430073376837.jpg HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [15/May/2015:17:53:37 -0400] "GET /mlm/images/products/1431196408229.png HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [15/May/2015:17:53:45 -0400] "POST /mlm/add2cart HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [15/May/2015:17:53:46 -0400] "GET /mlm/cart HTTP/1.1" 200 6395
0:0:0:0:0:0:0:1 - - [15/May/2015:17:53:46 -0400] "GET /mlm/css/cart.css HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [15/May/2015:17:53:46 -0400] "GET /mlm/images/logo/ok.png HTTP/1.1" 200 569
0:0:0:0:0:0:0:1 - - [15/May/2015:17:53:46 -0400] "GET /mlm/js/cart.js HTTP/1.1" 200 107
0:0:0:0:0:0:0:1 - - [15/May/2015:17:53:46 -0400] "POST /mlm/common/shoppingCartSummary HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [15/May/2015:17:53:50 -0400] "GET /mlm/products HTTP/1.1" 200 7424
0:0:0:0:0:0:0:1 - - [15/May/2015:17:53:50 -0400] "POST /mlm/common/category HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [15/May/2015:17:53:51 -0400] "POST /mlm/productList HTTP/1.1" 200 991
0:0:0:0:0:0:0:1 - - [15/May/2015:17:53:51 -0400] "POST /mlm/common/shoppingCartSummary HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [15/May/2015:17:53:51 -0400] "GET /mlm/images/products/1430061933579.jpg HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [15/May/2015:17:53:51 -0400] "GET /mlm/images/products/1430073376837.jpg HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [15/May/2015:17:53:51 -0400] "GET /mlm/images/products/1431196408229.png HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [15/May/2015:17:53:54 -0400] "GET /mlm/myshoppingcart HTTP/1.1" 200 6857
0:0:0:0:0:0:0:1 - - [15/May/2015:17:53:55 -0400] "POST /mlm/shoppingcart HTTP/1.1" 200 198
